[2025-12-14 17:51:08.592801] Evento: Riego APAGADO (Humedad=78%, Temp=22°C) 
[2025-12-14 17:51:11.593737] Evento: Riego APAGADO (Humedad=77%, Temp=22°C) 
[2025-12-14 17:51:14.594999] Evento: Riego APAGADO (Humedad=75%, Temp=23°C) 
[2025-12-14 17:51:17.595897] Evento: Riego APAGADO (Humedad=75%, Temp=22°C) 
[2025-12-14 17:51:20.596839] Evento: Riego APAGADO (Humedad=73%, Temp=21°C) 
[2025-12-14 17:51:23.598123] Evento: Riego APAGADO (Humedad=72%, Temp=22°C) 
[2025-12-14 17:51:26.599080] Evento: Riego APAGADO (Humedad=71%, Temp=23°C) 
[2025-12-14 17:51:29.600369] Evento: Riego APAGADO (Humedad=69%, Temp=24°C) 
[2025-12-14 17:51:32.601421] Evento: Riego APAGADO (Humedad=67%, Temp=25°C) 
[2025-12-14 17:51:35.601975] Evento: Riego APAGADO (Humedad=66%, Temp=24°C) 
[2025-12-14 17:51:38.840306] Evento: Riego APAGADO (Humedad=65%, Temp=23°C) 
[2025-12-14 17:51:41.841260] Evento: Riego APAGADO (Humedad=65%, Temp=23°C) 
[2025-12-14 17:51:44.841810] Evento: Riego APAGADO (Humedad=63%, Temp=22°C) 
[2025-12-14 17:51:47.843205] Evento: Riego APAGADO (Humedad=62%, Temp=22°C) 
[2025-12-14 17:51:50.844062] Evento: Riego APAGADO (Humedad=61%, Temp=21°C) 
[2025-12-14 17:51:53.845276] Evento: Riego APAGADO (Humedad=60%, Temp=22°C) 
[2025-12-14 17:51:56.846408] Evento: Riego ENCENDIDO (MEDIA POTENCIA) (Humedad=59%, Temp=21°C) 
[2025-12-14 17:51:59.847204] Evento: Riego APAGADO (Humedad=60%, Temp=21°C) 
[2025-12-14 17:52:02.848422] Evento: Riego APAGADO (Humedad=60%, Temp=21°C) 
[2025-12-14 17:52:05.849470] Evento: Riego ENCENDIDO (MEDIA POTENCIA) (Humedad=59%, Temp=22°C) 
[2025-12-14 17:52:09.029650] Evento: Riego APAGADO (Humedad=61%, Temp=22°C) 
[2025-12-14 17:52:12.030419] Evento: Riego APAGADO (Humedad=60%, Temp=22°C) 
[2025-12-14 17:52:15.030907] Evento: Riego APAGADO (Humedad=60%, Temp=22°C) 
[2025-12-14 17:52:18.032128] Evento: Riego APAGADO (Humedad=60%, Temp=21°C) 
[2025-12-14 17:52:21.033186] Evento: Riego ENCENDIDO (MEDIA POTENCIA) (Humedad=58%, Temp=21°C) 
[2025-12-14 17:52:24.034372] Evento: Riego APAGADO (Humedad=60%, Temp=22°C) 
[2025-12-14 17:52:27.035002] Evento: Riego ENCENDIDO (MEDIA POTENCIA) (Humedad=59%, Temp=20°C) 
[2025-12-14 17:52:30.036030] Evento: Riego APAGADO (Humedad=60%, Temp=21°C) 
